;АРТИКУЛ;ОПИСАНИЕ;ШК ПОЗИЦИИ;КОЛЛИЧЕСТВО;размер;вес/гр;ЦЕНА;РАЗМЕР УП-КИ;КАТЕГОРИЯ;ССЫЛКА НА ПОСТАВЩИКА ОСНОВНОЙ ПОЗИЦИИ;ПОСТАВЩИК;;
1;X8215-1;Коричневые, полукруглые, линзы коричневые, в углах над линзами металлические вставки, черный клетчатый чехол;2007327693098;22;57-17-135;60;280;15х8х4;Женский, Мужской;;;;
2;X8506;Черные, полукруглые, сине-зеленые, с металлическими вставками, черный клетчатый чехол;2007327693081;18;60-12-135;60;280;15х8х4;Мужской;;;;
3;X8507-1;Черный матовый, полукруглые большие, черный, фигурные, черный клетчатый чехол;2007327693074;15;65-9-121;60;280;15х8х4;Мужской;;;;
4;X2151 c2;Коричневый матовый, полукруглые, желтый, металлические вставки на кончиеках душек, черный клетчатый чехол;2007327693067;26;45-9-132;60;280;15х8х4;Женский, Мужской;;;;
5;X8509-1;Черный, прямоугольная, черный, металл с пластиком, черный клетчатый чехол;2007327693050;15;55-7-120;60;280;15х8х4;Мужской;;;;
6;X8219;Коричневые, полукруглый, коричневые, с металлическими вставками, черный клетчатый чехол;2007327693043;12;55-9-140;60;280;15х8х4;Женский;;;;
7;X008 c5;Коричневые, полукруглые, коричневые, тонкие пластиковые душки, черный клетчатый чехол;2007327693036;21; 55-7-135;60;280;15х8х4;Женский, Мужской;;;;
8;X8215;Чернгый глянец, полукруглая, черный, в углах над линзами металлические вставки, черный клетчатый чехол;2007327693029;22; 68-7-135;60;280;15х8х4;Женский, Мужской;;;;
9;X8507-2;Черный блестящий, большие прямоугольные закрывающие, черный, фигурные, черный клетчатый чехол;2007327693012;22;66-6-126;60;280;15х8х4;Мужской;;;;
10;X8502;Черный, квадратные, черный, со звездами в углах над линзами и с рисунком на душках, черный клетчатый чехол;2007327693005;22;56-7-134;60;280;15х8х4;Женский, Мужской;;;;
11;X8215-129;Черные с коричневыми душками, полукруглые, черный, под дерево, черный клетчатый чехол;2007332058998;13; 63-8-129;60;280;15х8х4;Женский, Мужской;;;;
12;X8215-135;Черные с серыми душками, полуукруглые, черные, в углах над линзами с металлическими вставками, черный клетчатый чехол;2007332058981;26;68-7-135;60;280;15х8х4;Женский, Мужской;;;;
13;X9202 c1;Черные, полукруглые, черный, с серыми вставками, черный, гладкий, маленький;2007332058974;10; 60-7-137;60;368;15х8х4;Мужской;;;;
14;X8507-126;Коричневый, прямоугольные большие, коричневый, фигурные, черный, гладкий, маленький;2007332058967;4;66-6-126;60;280;15х8х4;Женский, Мужской;;;;
15;X801 c1;Черные, круглые, черные, полукруг между линзами, черный, гладкий, маленький;2007332058950;13; 48-7-130;60;280;15х8х4;Мужской;;;;
16;X025 c5;Коричневые, полукруг, коричневые, металлические заклепки на душках, черный, гладкий, маленький, 58-15-130;2007332058943;22; 58-7-130;60;280;15х8х4;Женский, Мужской;;;;
17;X014 c1;Черный, круглые, металическая палочка над линзами и птички металлические по бокам над линзами, чрный, гладкий, маленький;2007332058936;22; 52-21-136;60;216;15х8х4;Мужской;;;;
18;X006 c4;Коричневые, прямоугольные, коричневые,ребристые между душками к носу, с металлическими вставками, черный, гладкий, маленький;2007332058929;15;54-19-137;60;216;15х8х4;Женский, Мужской;;;;
19;X8212-1;Черные, полукруглые, с металическими вставками по краям над линзами, черный, гладкий, маленький;2007332058912;13; 62-18-128;60;280;15х8х4;Женский, Мужской;;;;
20;X801 c5;Коричневые, круглые, черный, гладкий, маленький;2007332058905;14; 45-15-140;60;280;15х8х4;Женский, Мужской;;;;
21;X008 c4;Черные матовые, квадратные, черный, гладкий, маленький;2007332058899;1;55-15-125;60;280;15х8х4;Мужской;;;;
22;XUV400-1;Серебристо-коричневые, капелька, серый, коричневые с переходом в серебристый металл, черный, гладкий, маленький;2007332058882;21;53-20-120;60;280;15х8х4;Женский, Мужской;;;;
